# id	sub	tier	score	bounty	ncom	ageH	op_since	op_nitems	hits	tags	title
1552506	bitcoin	1	3354	0	0	0.7	88718	46687	recent@bitcoin|top@bitcoin	FRESH,HOT,SIGNAL	Speculating about bitcoin-standard wages
1552184	bitcoin	1	2713	0	1	10.1	24585	369	recent@bitcoin|top@bitcoin|recent@lightning	HOT,SIGNAL	Latest Strikes 32 & 33 - August 3rd-16th 2026
1552134	privacy	1	2262	0	1	11.4	19732	165	recent@privacy|top@privacy	HOT,SIGNAL	TUTORIAL: How To Get A Private eSIM with Bitcoin (Graphene, Android or iPhone)
1552209	Stacker_Stocks	2	1706	0	9	8.6	402772	22216	recent@lightning|top@lightning	HOT,SIGNAL,SELF_POST_OPP	PREDYX paid out almost 3.5 BTC over Lightning to BIP-110 market winners!
1552268	tech	1	1639	0	1	7.7	777209	56	recent@tech|top@tech	HOT,SIGNAL	Omacom Foundation launches with $8 million
1552154	lightning	1	1281	0	12	10.8	1032604	32	recent@lightning|top@lightning	HOT,SIGNAL	Polymarket now supports instant Bitcoin deposits over Lightning powered by Spark
1552290	bitcoin	1	1125	0	3	7.0	1374043	20	recent@bitcoin|top@bitcoin	HOT,SIGNAL	satsbid.lol
1552362	meta	1	1079	0	18	4.9	1242375	192	recent@meta|top@meta	HOT,SIGNAL	What is the point of posting on Stacker News?
1552360	bitcoin	1	607	0	1	4.9	144357	4466	recent@bitcoin|top@bitcoin	SIGNAL	BULLISH ON BITCOIN IN GDL | SNL #238
1552272	tech	1	521	0	1	7.7	777209	56	recent@tech|top@tech	SIGNAL	Omacom Foundation to be exclusive Hyprland sponsor
1552135	lightning	1	426	0	3	11.4	440729	238	recent@lightning|top@lightning	SIGNAL	⚡️ Storm Report: Best posts about the Lightning Network on SN - issue: 963456
1552364	AI	1	420	0	0	4.8	370699	320	recent@AI|top@AI	SIGNAL	Build your own TUI for DeepSeek harness
1552219	bitcoin	1	375	0	10	8.4	1551858	7	recent@bitcoin|top@bitcoin|recent@bitcoin_beginners	SIGNAL	New service for stacking no-KYC + free (gifted) sats
1552318	openagents	1	157	0	1	6.1	534967	232	recent@openagents|top@openagents	SIGNAL	Episode 274: The First Repo
1552385	AI	1	156	0	0	4.1	297791	7649	recent@AI|top@AI	SIGNAL	Stripe: Singularity has begun
1552128	bitcoin	1	130	0	4	11.5	1545780	46	recent@lightning|top@lightning	SIGNAL	From Stacker News to My First Lightning Channel ⚡
1552242	bitcoin	1	104	0	0	8.2	296825	5171	recent@bitcoin_beginners|top@bitcoin_beginners|recent@lightning	SIGNAL	Warning: ongoing Cashu phishing campaign.
1551629	privacy	1	9249	0	2	31.8	12309	3626	recent@privacy	HOT	Federal judge strikes down ATF 'ghost gun' rule for 3D printed parts
1552045	bitcoin	1	5288	0	16	13.2	724606	12213	recent@bitcoin|top@bitcoin	HOT	On the Economics of Peer-to-Peer, pt 2: The Stubborn Issue of Indexation
1551592	bitcoin	1	3682	0	26	32.6	1420309	26	recent@bitcoin	HOT	Coinos NWC keys rotated
1551655	AI	1	3511	0	7	30.4	4078	5404	recent@AI	HOT	Terence Tao - Mathematics in the age of AI
1551942	Design	2	3026	0	7	16.5	163128	3771	recent@lightning|top@lightning	HOT,SELF_POST_OPP	Authenticity · Lightning Transactions Live Flow & Node Health Visualization
1551726	AI	1	2599	0	13	28.2	241	2907	recent@AI	HOT	Jacob Tsimerman on winning 2026 Fields medal and leaving academia for OpenAI
1552000	meta	1	2107	0	2	14.6	1195179	1090	recent@meta|top@meta	HOT	"it does not spark joy"
1551914	bitcoin	1	1824	0	18	17.6	934367	987	recent@bitcoin|top@bitcoin	HOT	Market for renting Fidelity Bonds · joinmarket-ng
1551573	bitcoin	1	1814	0	2	32.9	74100	12095	recent@bitcoin|recent@bitdevs	HOT	Bitcoin Dev Launchpad First Cohort: Alumni Outlook
1552068	bitcoin	1	1203	0	0	12.8	1014665	229	recent@bitcoin|top@bitcoin	HOT	LND vuln, rawtr(), ecosystem software - Bitcoin Optech Newsletter #419
1551476	bitcoin	1	1196	0	9	35.5	74100	12095	recent@bitcoin	HOT	We replaced our ledger with two functions - River
1551640	AI	1	1111	0	3	31.4	1	27182	recent@bitcoin|recent@lightning|recent@AI	HOT	One thing L402 can learn from x402
1552040	lightning	1	560	0	1	13.4	440729	238	recent@lightning|top@lightning		Biggest Channel Opened Today (2.5 BTC) + New Node Spotlight (02e76d6b452362edf…)
1551997	bitcoin_beginners	1	541	0	0	14.8	30782	25525	recent@bitcoin_beginners|top@bitcoin_beginners		Bitcoin Beginners Newsletter, Issue 113
1551683	tech	1	537	0	4	29.7	1497665	12	recent@bitcoin|recent@tech		satd (full Bitcoin node in Rust): Guided Code Tour
1551734	security	1	481	0	4	28.0	1	27182	recent@bitcoin|recent@lightning|recent@security		Atomiq, bitcoin alt swapper, shuts down following "sophisticated AI attacks"
1551505	lol	2	426	0	2	34.5	74100	12095	recent@bitcoin		COLDCARD Security Update: Seed Generation, Transaction Integrity, Data Isolation
1551824	lol	2	362	0	2	23.9	296825	5171	recent@tech|top@tech		What else can you use to find subdomains?
1552069	bitcoin	1	353	0	2	12.8	30782	25525	recent@bitcoin|top@bitcoin|recent@bitcoin_beginners		Quote Of The Day
1551673	tech	1	277	0	0	30.0	161788	10282	recent@tech		Watching TikTok and Instagram deactivates the cognitive control network: Study
