# id	sub	tier	score	bounty	ncom	ageH	op_since	op_nitems	hits	tags	title
1552647	bitcoin	1	1214	0	7	4.0	74100	12102	recent@bitcoin|top@bitcoin|recent@Stacker_Stocks	HOT,SIGNAL	Noones App shuts down
1552608	nostr	1	1169	0	1	6.3	249216	279	recent@nostr|top@nostr	HOT,SIGNAL	🎹 Napstr - own your music again
1552730	Politics_And_Law	3	678	0	0	1.5	88718	46706	recent@history|top@history	FRESH,SIGNAL	Why the French Revolution Was Not a Libertarian Revolution
1552583	Construction_and_Engineering	2	592	0	1	9.4	1022234	579	recent@Construction_and_Engineering|top@Construction_and_Engineering	SIGNAL	PoW 8/21/26
1552628	bitcoin	1	540	0	1	4.9	74100	12102	recent@bitcoin|top@bitcoin|recent@lightning	SIGNAL	Enabling Threshold Custody on Lightning Network with Nested Threshold Multisig
1552686	bitcoin_Mining	1	482	0	3	2.9	273359	929	recent@bitcoin_Mining|top@bitcoin_Mining|recent@mempool	SIGNAL	Mining Pool Health Report [Week 5]
1552530	Politics_And_Law	3	356	0	1	11.9	88718	46706	recent@econ|top@econ	SIGNAL	MMT: A Political Movement without Serious Defenders
1552654	AskSN	2	300	0	3	3.7	104755	12788	recent@AskSN|top@AskSN	SIGNAL	When did you last marry your personal and professional lives?
1552645	bitdevs	1	261	0	1	4.1	238412	234	recent@bitdevs|top@bitdevs|recent@devs	SIGNAL	Grug Speak, Grug Outside, Grug Happy | dergigi.com
1552643	BooksAndArticles	2	222	0	3	4.1	30782	25528	recent@BooksAndArticles|top@BooksAndArticles	SIGNAL	Top Posts of The Week For This Territory
1552593	econ	2	184	0	2	7.1	12309	3629	recent@econ|top@econ	SIGNAL	The Trump economy: $40tn debt, 6.7% mortgages and $5 diesel
1552562	lightning	1	173	0	1	10.6	1552562	4	recent@lightning|top@lightning	SIGNAL	Cuba's cash collapse: how Lightning and stablecoins became survival tools
1552634	bitcoin_beginners	1	157	0	1	4.4	1552562	4	recent@bitcoin_beginners|top@bitcoin_beginners	SIGNAL	Waiting for my moment to become a holder (from Cuba)
1551981	news	2	5566	0	1	27.0	51481	4144	recent@news	HOT	Romania scrambles F-16 fighter jets to destroy drone near European gas project
1552045	bitcoin	1	5288	0	16	25.1	724606	12223	recent@bitcoin|recent@econ	HOT	On the Economics of Peer-to-Peer, pt 2: The Stubborn Issue of Indexation
